start,end,duration_min
2018-06-11 09:05:00,2018-06-11 09:15:00,10.0
2018-06-11 14:55:00,2018-06-11 15:05:00,10.0
2018-06-12 23:10:00,2018-06-12 23:15:00,5.0
2018-06-13 06:35:00,2018-06-13 06:40:00,5.0
2018-06-13 07:35:00,2018-06-13 07:40:00,5.0
2018-06-15 14:20:00,2018-06-15 14:30:00,10.0
2018-06-16 09:10:00,2018-06-16 09:15:00,5.0
2018-06-18 18:10:00,2018-06-18 18:15:00,5.0
2018-06-18 18:20:00,2018-06-18 18:25:00,5.0
2018-06-23 22:40:00,2018-06-23 23:00:00,20.0
2018-06-25 12:10:00,2018-06-25 12:15:00,5.0
2018-06-25 13:05:00,2018-06-25 13:10:00,5.0
2018-06-25 18:10:00,2018-06-25 18:15:00,5.0
2018-06-25 23:00:00,2018-06-25 23:05:00,5.0
2018-06-25 23:30:00,2018-06-25 23:35:00,5.0
2018-06-30 03:20:00,2018-06-30 03:30:00,10.0
2018-06-30 06:50:00,2018-06-30 06:55:00,5.0
2018-06-30 22:05:00,2018-06-30 22:10:00,5.0
2018-07-02 09:55:00,2018-07-02 10:00:00,5.0
2018-07-02 14:55:00,2018-07-02 15:00:00,5.0
2018-07-03 23:45:00,2018-07-03 23:50:00,5.0
2018-07-12 09:40:00,2018-07-12 09:45:00,5.0
2018-07-13 12:55:00,2018-07-13 13:00:00,5.0
2018-07-15 01:05:00,2018-07-15 01:10:00,5.0
2018-08-04 06:40:00,2018-08-04 06:45:00,5.0
2018-08-05 03:00:00,2018-08-05 03:10:00,10.0
2018-08-05 05:45:00,2018-08-05 06:00:00,15.0
2018-08-05 08:10:00,2018-08-05 08:20:00,10.0
2018-08-05 09:35:00,2018-08-05 09:45:00,10.0
2018-08-05 10:20:00,2018-08-05 10:25:00,5.0
2018-08-09 01:35:00,2018-08-09 01:40:00,5.0
2018-08-14 06:55:00,2018-08-14 07:00:00,5.0
2018-08-14 11:50:00,2018-08-14 12:00:00,10.0
2018-08-14 12:10:00,2018-08-14 12:20:00,10.0
2018-08-15 22:05:00,2018-08-15 22:10:00,5.0
2018-08-16 04:00:00,2018-08-16 05:15:00,75.0
2018-08-16 05:45:00,2018-08-16 06:30:00,45.0
2018-08-16 06:35:00,2018-08-16 07:00:00,25.0
2018-08-17 02:55:00,2018-08-17 03:00:00,5.0
2018-08-17 03:10:00,2018-08-17 03:35:00,25.0
2018-08-17 05:00:00,2018-08-17 05:10:00,10.0
2018-08-17 08:20:00,2018-08-17 08:30:00,10.0
2018-08-17 11:35:00,2018-08-17 11:45:00,10.0
2018-08-17 12:05:00,2018-08-17 12:10:00,5.0
2018-08-21 14:10:00,2018-08-21 14:15:00,5.0
2018-08-22 23:55:00,2018-08-23 00:00:00,5.0
2018-08-23 01:40:00,2018-08-23 01:50:00,10.0
